14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100
0.1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 30, 40, 50, 60, 70, 80, 90, 100
           t         gam           m         rho
   3.2570E+03  1.1436E+00  2.7259E+01  1.9980E+00
   3.4699E+03  1.1489E+00  2.6955E+01  3.8651E+00
   3.2748E+03  1.1446E+00  2.7302E+01  2.3874E+00
   3.4875E+03  1.1498E+00  2.6994E+01  4.4929E+00
   3.2897E+03  1.1455E+00  2.7338E+01  2.7755E+00
   3.5028E+03  1.1506E+00  2.7028E+01  5.1188E+00
   3.3026E+03  1.1463E+00  2.7370E+01  3.1624E+00
   3.5162E+03  1.1512E+00  2.7057E+01  5.7429E+00
   3.3139E+03  1.1470E+00  2.7397E+01  3.5483E+00
   3.5282E+03  1.1518E+00  2.7084E+01  6.3655E+00
   3.3240E+03  1.1476E+00  2.7422E+01  3.9332E+00
   3.5390E+03  1.1523E+00  2.7108E+01  6.9868E+00
   3.3331E+03  1.1482E+00  2.7444E+01  4.3173E+00
   3.0256E+03  1.1273E+00  2.6504E+01  1.0678E-01
   2.8888E+03  1.1233E+00  2.6888E+01  6.5797E-02
   3.2376E+03  1.1378E+00  2.6973E+01  6.9084E-01
   3.0740E+03  1.1335E+00  2.7342E+01  4.2620E-01
   3.3154E+03  1.1416E+00  2.7147E+01  1.3580E+00
   3.1411E+03  1.1372E+00  2.7508E+01  8.3815E-01
   3.3609E+03  1.1438E+00  2.7249E+01  2.0170E+00
   3.1802E+03  1.1394E+00  2.7606E+01  1.2452E+00
   3.3931E+03  1.1454E+00  2.7321E+01  2.6708E+00
   3.2079E+03  1.1410E+00  2.7674E+01  1.6491E+00
   3.4181E+03  1.1466E+00  2.7378E+01  3.3209E+00
   3.2292E+03  1.1422E+00  2.7728E+01  2.0508E+00
   3.4385E+03  1.1476E+00  2.7424E+01  3.9682E+00
   3.2466E+03  1.1432E+00  2.7771E+01  2.4508E+00
   3.4557E+03  1.1484E+00  2.7463E+01  4.6130E+00
   3.2612E+03  1.1441E+00  2.7808E+01  2.8493E+00
   3.4706E+03  1.1491E+00  2.7497E+01  5.2559E+00
   3.2739E+03  1.1448E+00  2.7839E+01  3.2466E+00
   3.4837E+03  1.1497E+00  2.7526E+01  5.8970E+00
   3.2850E+03  1.1454E+00  2.7867E+01  3.6429E+00
   3.4954E+03  1.1503E+00  2.7553E+01  6.5366E+00
   3.2949E+03  1.1460E+00  2.7892E+01  4.0383E+00
   3.5060E+03  1.1508E+00  2.7577E+01  7.1748E+00
   3.3039E+03  1.1465E+00  2.7915E+01  4.4328E+00
   3.0026E+03  1.1274E+00  2.6887E+01  1.0915E-01
   2.8657E+03  1.1236E+00  2.7267E+01  6.7256E-02
   3.2074E+03  1.1378E+00  2.7348E+01  7.0705E-01
   3.0438E+03  1.1339E+00  2.7712E+01  4.3618E-01
   3.2821E+03  1.1417E+00  2.7518E+01  1.3905E+00
   3.1079E+03  1.1378E+00  2.7874E+01  8.5817E-01
   3.3258E+03  1.1439E+00  2.7618E+01  2.0658E+00
   3.1452E+03  1.1400E+00  2.7968E+01  1.2753E+00
   3.3567E+03  1.1455E+00  2.7689E+01  2.7361E+00
   3.1715E+03  1.1416E+00  2.8035E+01  1.6893E+00
   3.3806E+03  1.1467E+00  2.7744E+01  3.4027E+00
   3.1918E+03  1.1429E+00  2.8086E+01  2.1012E+00
   3.4001E+03  1.1477E+00  2.7789E+01  4.0664E+00
   3.2082E+03  1.1439E+00  2.8128E+01  2.5113E+00
   3.4165E+03  1.1485E+00  2.7827E+01  4.7278E+00
   3.2221E+03  1.1448E+00  2.8164E+01  2.9200E+00
   3.4307E+03  1.1493E+00  2.7860E+01  5.3872E+00
   3.2341E+03  1.1455E+00  2.8194E+01  3.3275E+00
   3.4432E+03  1.1499E+00  2.7889E+01  6.0449E+00
   3.2446E+03  1.1462E+00  2.8221E+01  3.7340E+00
   3.4543E+03  1.1505E+00  2.7914E+01  6.7011E+00
   3.2540E+03  1.1468E+00  2.8245E+01  4.1396E+00
   3.4644E+03  1.1510E+00  2.7938E+01  7.3559E+00
   3.2624E+03  1.1474E+00  2.8267E+01  4.5444E+00
   2.9787E+03  1.1279E+00  2.7203E+01  1.1132E-01
   2.8409E+03  1.1245E+00  2.7578E+01  6.8593E-02
   3.1756E+03  1.1385E+00  2.7652E+01  7.2208E-01
   3.0108E+03  1.1352E+00  2.8008E+01  4.4544E-01
   3.2470E+03  1.1425E+00  2.7817E+01  1.4208E+00
   3.0715E+03  1.1393E+00  2.8164E+01  8.7688E-01
   3.2885E+03  1.1448E+00  2.7914E+01  2.1117E+00
   3.1065E+03  1.1417E+00  2.8254E+01  1.3035E+00
   3.3178E+03  1.1464E+00  2.7982E+01  2.7975E+00
   3.1311E+03  1.1434E+00  2.8317E+01  1.7272E+00
   3.3404E+03  1.1477E+00  2.8035E+01  3.4798E+00
   3.1500E+03  1.1448E+00  2.8366E+01  2.1487E+00
   3.3588E+03  1.1487E+00  2.8078E+01  4.1592E+00
   3.1654E+03  1.1459E+00  2.8406E+01  2.5686E+00
   3.3743E+03  1.1496E+00  2.8114E+01  4.8364E+00
   3.1782E+03  1.1468E+00  2.8439E+01  2.9870E+00
   3.3877E+03  1.1504E+00  2.8146E+01  5.5116E+00
   3.1893E+03  1.1476E+00  2.8468E+01  3.4043E+00
   3.3995E+03  1.1511E+00  2.8173E+01  6.1852E+00
   3.1990E+03  1.1484E+00  2.8493E+01  3.8206E+00
   3.4099E+03  1.1517E+00  2.8198E+01  6.8573E+00
   3.2077E+03  1.1490E+00  2.8516E+01  4.2361E+00
